Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Argentina,Neuquén,Centro Oncológico Integral (C.O.I.),1,0,0,1,2020.0,-38.9044522,-68.086183
Argentina,Olavarría,"Hospital de Oncología ""Luciano Fortabat""",2,0,1,0,2012.0,-36.8844929,-60.3116792
Argentina,Oro Verde,Fundacion Centro de Medicina Nuclear y Molecular Entre Rios (CEMENER),2,0,0,2,2023.0,-31.8021219,-60.5130018
Argentina,Paraná,HOSPITAL SAN MARTIN DE PARANA,1,0,0,0,2017.0,-31.7406031,-60.5232578
Argentina,PARANÁ,UNITER S.R.L.,2,0,0,0,2017.0,-31.7387019,-60.522772
Argentina,Pergamino,Centro de Investigación Pergamino SA,1,0,0,2,2020.0,-33.8910846,-60.5777284
Argentina,Pergamino,Centro Oncologico Pergamino (COP),0,0,0,1,2023.0,-33.910013,-60.5879796
Argentina,Posadas,Escuela Hospital Dr. Ramón Madariaga Treble (Hospital Escuela de Agudos Dr. Ramón Madariaga),0,0,0,1,2023.0,-27.3844655,-55.8895376
Argentina,Posdas,CENTRO DE ONCOLOGIA POSADAS,2,0,0,0,2015.0,-27.3610631,-55.897482
Argentina,Resistencia,CABIN - Centro de Aplicaciones Bionucleares,1,0,0,1,2019.0,-27.4573678,-58.9750348
Argentina,Resistencia,TERAPIA RADIANTE RESISTENCIA,1,0,0,0,2016.0,-27.4518622,-58.9855547
Argentina,RIO GALLEGOS,Centro de Medicina Nuclear y Radioterapia de la Patagonia Austral,0,0,0,1,2023.0,-51.6474206,-69.2147594
Argentina,ROSARIO,CENTRO DE RADIOTERAPIA,2,0,0,1,2017.0,-32.9428913,-60.6688549
Argentina,ROSARIO,"CENTRO DE TERAPIA RADIANTE ""Dr. JOSE MIECHI""",1,0,0,1,2019.0,-32.9618343,-60.6450782
Argentina,ROSARIO,Terapia Radiante Cumbres S.A.,2,0,0,2,2020.0,-32.9616707,-60.6512713
Argentina,Río Cuarto,Centro Privado de Radioterapia de Río Cuarto,2,0,0,1,2020.0,-33.1324952,-64.3501979
Argentina,SALTA,CENTRO DE RADIACIONES SRL,1,0,0,0,2012.0,-24.7876689,-65.4108324
Argentina,San Carlos de Bariloche,Fundación Balseiro,1,0,0,0,2014.0,-41.1191906,-71.4146421
Argentina,San Carlos de Bariloche,Fundacion INTECNUS,2,0,0,1,2023.0,-41.1253511,-71.4109105
Argentina,San Francisco,Centro Privado de Radioterapia y Oncologia ONCORED CEPRO,1,0,0,0,2012.0,-31.4251032,-62.0864641
Argentina,SAN ISIDRO,CENTRO INTERCONSULTA Y TRATAMIENTO ONCOLOGICO,1,0,0,1,2012.0,-34.470829,-58.5286102
Argentina,SAN JUAN,HOSPITAL MARCIAL V. QUIROGA,1,0,0,0,2017.0,-31.5300616,-68.5958332
Argentina,SAN JUAN,CENTRO MEDICO NUCLEAR S.R.L.,1,0,0,1,2015.0,-31.5351074,-68.5385941
Argentina,San Juan,Centro Radioterapia San Juan SA (SE MUDÓ A DONDE ESTABA CEMENU),1,0,0,0,2012.0,-31.5357926,-68.5109709
Argentina,San Justo,Centro de Radiaciones San Justo,1,0,0,0,2017.0,-34.6740529,-58.5629004
Argentina,San Justo,Mevaterapia San Justo,2,0,0,1,2020.0,-34.669396,-58.5685609
Argentina,San Luis,CENTRO ONCOLOGICO PROVINCIAL Complejo Sanitario San Luis,1,0,0,0,2012.0,-33.2959343,-66.3195382
Argentina,San Luis,Programa Hospital San Luis-Centro Oncologico Integral,1,0,0,0,2020.0,-33.2964664,-66.3203105
Argentina,SAN MARTIN,CENTRO PRIVADO DE RADIACIONES SAN MARTIN,2,0,0,0,2012.0,-34.5776783,-58.5424781
Argentina,SAN MIGUEL DE TUCUMAN,CLINICA RADIOLOGICA,2,0,0,1,2017.0,-26.8327027,-65.2020019
Argentina,San Miguel de Tucumán,Centro de Salud Zenon Santillán,1,0,0,0,2017.0,-26.82204,-65.1955586
Argentina,SAN NICOLAS,Instituto de Terapia Radiante San Nicolas,2,0,0,0,2019.0,-33.3350359,-60.2254402
Argentina,SAN RAFAEL,FUESMEN SAN RAFAEL,3,0,0,1,2017.0,-34.6206268,-68.3261864
Argentina,SANTA FE,CENTRO ONCOLOGICO DEL LITORAL,2,0,0,2,2017.0,-31.6421612,-60.6962379
Argentina,SANTA FE,UNIDAD DE TERAPIA ONCOLOGICA - U.T.O. S.A.,2,0,0,1,2017.0,-31.6490067,-60.7166618
Argentina,SANTA ROSA,Centro de Oncologia y Terapia Radiante SA.,2,0,0,1,2017.0,-36.6263646,-64.3045608
Argentina,Santiago del Estero,TACSE RADIANTE,1,0,0,0,2017.0,-27.7910857,-64.2569888
Argentina,Sunchales,Centro Oncológico Sunchales - COS Atilra,1,0,0,0,2020.0,-30.952208,-61.5512086
Argentina,São Miguel de Tucuman,Vidt Centro Medico Sa Ge,1,0,0,0,2019.0,-26.8304628,-65.2039693
Argentina,Tandil,Centro Oncológico de las Sierras Tandil,1,0,0,0,2019.0,-37.3377142,-59.1228593
Argentina,VENADO TUERTO,NUEVO CENTRO DE TRATAMIENTO ONCOLOGICO,1,0,0,0,2009.0,-33.7723032,-61.9613784
Argentina,Vila Dolores,"Centro de Radioterapia y Oncología Valle Viejo: ""Fundacion Guido Jalil""",1,0,0,0,2019.0,-28.5656021,-65.7134009
Armenia,Yerevan,National Centre of Oncology,2,0,0,2,2025.0,40.2157832,44.5433989
Armenia,Yerevan,Erebuni Radiotherapy Centre,3,0,0,1,2025.0,40.1320348,44.5230604
Aruba,Aruba,Instituto Medico San Nicolas,1,0,0,0,2021.0,12.4227616,-69.8776091
Australia,Adelaide,Royal Adelaide Hospital Radiation Oncology,3,0,0,0,2020.0,-34.9202278,138.6089788
Australia,Adelaide,Genesis Cancer Care South Terrace,2,0,0,0,2020.0,-34.9355562,138.6026901
Australia,Auchenflower,Genesis Care,1,0,0,0,2021.0,-27.4767378,152.9974666
Australia,Ballarat,Ballarat Regional Integrated Cancer Centre,2,0,0,0,2020.0,-37.5603982,143.847093
Australia,Bedford Park,Flinders Medical Centre,2,0,0,0,2020.0,-35.0226671,138.5690943
Australia,Bendigo,PeterMacCallum Cancer Centre - Bendigo,2,0,1,0,2020.0,-36.7596196,144.2785764
Australia,Berwick,Genesis Cancer Care Casey,2,0,0,0,2020.0,-38.0309443,145.3437469
Australia,Birtinya,Sunshine Coast University Hospital,2,0,0,0,2020.0,-26.7468526,153.1137558
Australia,Blacktown,Blacktown Hospital,2,0,0,0,2020.0,-33.7759126,150.9165494
Australia,Box Hill,PeterMacCallum Cancer Centre Box Hill,2,0,0,0,2020.0,-37.8148339,145.1192327
Australia,Brisbane,Royal Brisbane & Women's Hospital,4,0,1,2,2020.0,-27.4471109,153.0281818
Australia,Brisbane,Genesis Cancer Care Wesley Auchenflower,3,0,0,0,2020.0,-27.4755182,152.9934343
Australia,Brisbane,Princess Alexandra Hospital,6,0,0,0,2021.0,-27.4990044,153.0332209
Australia,Buderim,Genesis Cancer Care Buderim,1,0,0,0,2020.0,-26.6856968,153.0506602
Australia,Bunbury,Genesis Cancer Care South West Radiation Oncology Service,2,0,0,0,2020.0,-33.3670919,115.6473557
Australia,Bundaberg,Genesis Bundaberg,1,0,0,0,2020.0,-24.8702385,152.3303451
Australia,Burnie,North West Regional Cancer Centre,1,0,0,0,2020.0,-41.0469313,145.8810082
Australia,Cairns North,Radiation Oncology Centres Cairns,1,0,0,0,2020.0,-16.9038525,145.7594595
Australia,Campbelltown,Macarthur Cancer Therapy Centre,2,0,0,0,2020.0,-34.076889,150.80513
Australia,Camperdown,Chris O'Brien Lifehouse,4,0,0,0,2020.0,-33.8902191,151.1820044
Australia,Chermside,Genesis Cancer Care Chermside,2,0,0,0,2020.0,-27.3858322,153.0310009
Australia,Claremont,5D CyberKnife Clincs Perth,1,0,0,0,2020.0,-31.9820127,115.7853126
